unit,isced97,hlth_pb,sex,age,time,geo,value
THS,ED0-2,PB1040,F,TOTAL,2011,BE ,223.746
THS,ED0-2,PB1040,M,TOTAL,2011,BE ,249.621
THS,ED0-2,PB1040,T,TOTAL,2011,BE ,473.367
THS,ED0-2,PB1040,F,Y15-24,2011,BE ,11.757
THS,ED0-2,PB1040,M,Y15-24,2011,BE ,26.862
THS,ED0-2,PB1040,T,Y15-24,2011,BE ,38.619
THS,ED0-2,PB1040,F,Y25-34,2011,BE ,17.068
THS,ED0-2,PB1040,M,Y25-34,2011,BE ,18.76
THS,ED0-2,PB1040,T,Y25-34,2011,BE ,35.828
THS,ED0-2,PB1040,F,Y35-44,2011,BE ,28.254
THS,ED0-2,PB1040,M,Y35-44,2011,BE ,35.795
THS,ED0-2,PB1040,T,Y35-44,2011,BE ,64.049
THS,ED0-2,PB1040,F,Y45-54,2011,BE ,69.235
THS,ED0-2,PB1040,M,Y45-54,2011,BE ,69.24
THS,ED0-2,PB1040,T,Y45-54,2011,BE ,138.475
THS,ED0-2,PB1040,F,Y55-64,2011,BE ,97.431
THS,ED0-2,PB1040,M,Y55-64,2011,BE ,98.965
THS,ED0-2,PB1040,T,Y55-64,2011,BE ,196.396
THS,ED0-2,PB1041,F,TOTAL,2011,BE ,800.532
THS,ED0-2,PB1041,M,TOTAL,2011,BE ,907.506
THS,ED0-2,PB1041,T,TOTAL,2011,BE ,1708.038
THS,ED0-2,PB1041,F,Y15-24,2011,BE ,252.547
THS,ED0-2,PB1041,M,Y15-24,2011,BE ,311.146
THS,ED0-2,PB1041,T,Y15-24,2011,BE ,563.692
THS,ED0-2,PB1041,F,Y25-34,2011,BE ,85.178
THS,ED0-2,PB1041,M,Y25-34,2011,BE ,105.647
THS,ED0-2,PB1041,T,Y25-34,2011,BE ,190.826
THS,ED0-2,PB1041,F,Y35-44,2011,BE ,100.778
THS,ED0-2,PB1041,M,Y35-44,2011,BE ,131.685
THS,ED0-2,PB1041,T,Y35-44,2011,BE ,232.464
THS,ED0-2,PB1041,F,Y45-54,2011,BE ,160.076
THS,ED0-2,PB1041,M,Y45-54,2011,BE ,186.171
THS,ED0-2,PB1041,T,Y45-54,2011,BE ,346.247
THS,ED0-2,PB1041,F,Y55-64,2011,BE ,201.953
THS,ED0-2,PB1041,M,Y55-64,2011,BE ,172.857
THS,ED0-2,PB1041,T,Y55-64,2011,BE ,374.81
THS,ED0-2,PB1070,F,TOTAL,2011,BE ,237.331
THS,ED0-2,PB1070,M,TOTAL,2011,BE ,238.975
THS,ED0-2,PB1070,T,TOTAL,2011,BE ,476.307
THS,ED0-2,PB1070,F,Y15-24,2011,BE ,10.5
THS,ED0-2,PB1070,M,Y15-24,2011,BE ,20.829
THS,ED0-2,PB1070,T,Y15-24,2011,BE ,31.33
THS,ED0-2,PB1070,F,Y25-34,2011,BE ,21.534
THS,ED0-2,PB1070,M,Y25-34,2011,BE ,16.158
THS,ED0-2,PB1070,T,Y25-34,2011,BE ,37.692
THS,ED0-2,PB1070,F,Y35-44,2011,BE ,30.491
THS,ED0-2,PB1070,M,Y35-44,2011,BE ,33.919
THS,ED0-2,PB1070,T,Y35-44,2011,BE ,64.409
THS,ED0-2,PB1070,F,Y45-54,2011,BE ,76.296
THS,ED0-2,PB1070,M,Y45-54,2011,BE ,66.066
THS,ED0-2,PB1070,T,Y45-54,2011,BE ,142.362
THS,ED0-2,PB1070,F,Y55-64,2011,BE ,98.51
THS,ED0-2,PB1070,M,Y55-64,2011,BE ,102.004
THS,ED0-2,PB1070,T,Y55-64,2011,BE ,200.514
THS,ED0-2,PB1071,F,TOTAL,2011,BE ,786.946
THS,ED0-2,PB1071,M,TOTAL,2011,BE ,918.152
THS,ED0-2,PB1071,T,TOTAL,2011,BE ,1705.099
THS,ED0-2,PB1071,F,Y15-24,2011,BE ,253.804
THS,ED0-2,PB1071,M,Y15-24,2011,BE ,317.178
THS,ED0-2,PB1071,T,Y15-24,2011,BE ,570.982
THS,ED0-2,PB1071,F,Y25-34,2011,BE ,80.713
THS,ED0-2,PB1071,M,Y25-34,2011,BE ,108.249
THS,ED0-2,PB1071,T,Y25-34,2011,BE ,188.962
THS,ED0-2,PB1071,F,Y35-44,2011,BE ,98.542
THS,ED0-2,PB1071,M,Y35-44,2011,BE ,133.561
THS,ED0-2,PB1071,T,Y35-44,2011,BE ,232.103
THS,ED0-2,PB1071,F,Y45-54,2011,BE ,153.014
THS,ED0-2,PB1071,M,Y45-54,2011,BE ,189.345
THS,ED0-2,PB1071,T,Y45-54,2011,BE ,342.359
THS,ED0-2,PB1071,F,Y55-64,2011,BE ,200.874
THS,ED0-2,PB1071,M,Y55-64,2011,BE ,169.818
THS,ED0-2,PB1071,T,Y55-64,2011,BE ,370.692
THS,ED0-2,TOTAL,F,TOTAL,2011,BE ,1024.278
THS,ED0-2,TOTAL,M,TOTAL,2011,BE ,1157.127
THS,ED0-2,TOTAL,T,TOTAL,2011,BE ,2181.405
THS,ED0-2,TOTAL,F,Y15-24,2011,BE ,264.304
THS,ED0-2,TOTAL,M,Y15-24,2011,BE ,338.008
THS,ED0-2,TOTAL,T,Y15-24,2011,BE ,602.311
THS,ED0-2,TOTAL,F,Y25-34,2011,BE ,102.247
THS,ED0-2,TOTAL,M,Y25-34,2011,BE ,124.407
THS,ED0-2,TOTAL,T,Y25-34,2011,BE ,226.654
THS,ED0-2,TOTAL,F,Y35-44,2011,BE ,129.033
THS,ED0-2,TOTAL,M,Y35-44,2011,BE ,167.48
THS,ED0-2,TOTAL,T,Y35-44,2011,BE ,296.513
THS,ED0-2,TOTAL,F,Y45-54,2011,BE ,229.31
THS,ED0-2,TOTAL,M,Y45-54,2011,BE ,255.411
THS,ED0-2,TOTAL,T,Y45-54,2011,BE ,484.722
THS,ED0-2,TOTAL,F,Y55-64,2011,BE ,299.384
THS,ED0-2,TOTAL,M,Y55-64,2011,BE ,271.822
THS,ED0-2,TOTAL,T,Y55-64,2011,BE ,571.206
THS,ED3_4,PB1040,F,TOTAL,2011,BE ,166.947
THS,ED3_4,PB1040,M,TOTAL,2011,BE ,159.977
THS,ED3_4,PB1040,T,TOTAL,2011,BE ,326.923
THS,ED3_4,PB1040,F,Y15-24,2011,BE ,9.463
THS,ED3_4,PB1040,M,Y15-24,2011,BE ,11.021
THS,ED3_4,PB1040,T,Y15-24,2011,BE ,20.484
THS,ED3_4,PB1040,F,Y25-34,2011,BE ,22.753
THS,ED3_4,PB1040,M,Y25-34,2011,BE ,20.153
THS,ED3_4,PB1040,T,Y25-34,2011,BE ,42.906
THS,ED3_4,PB1040,F,Y35-44,2011,BE ,37.398
THS,ED3_4,PB1040,M,Y35-44,2011,BE ,33.66
THS,ED3_4,PB1040,T,Y35-44,2011,BE ,71.058
THS,ED3_4,PB1040,F,Y45-54,2011,BE ,50.669
THS,ED3_4,PB1040,M,Y45-54,2011,BE ,43.741
THS,ED3_4,PB1040,T,Y45-54,2011,BE ,94.411
THS,ED3_4,PB1040,F,Y55-64,2011,BE ,46.664
THS,ED3_4,PB1040,M,Y55-64,2011,BE ,51.401
THS,ED3_4,PB1040,T,Y55-64,2011,BE ,98.064
THS,ED3_4,PB1041,F,TOTAL,2011,BE ,1099.103
THS,ED3_4,PB1041,M,TOTAL,2011,BE ,1206.415
THS,ED3_4,PB1041,T,TOTAL,2011,BE ,2305.518
THS,ED3_4,PB1041,F,Y15-24,2011,BE ,263.184
THS,ED3_4,PB1041,M,Y15-24,2011,BE ,229.946
THS,ED3_4,PB1041,T,Y15-24,2011,BE ,493.13
THS,ED3_4,PB1041,F,Y25-34,2011,BE ,212.196
THS,ED3_4,PB1041,M,Y25-34,2011,BE ,295.297
THS,ED3_4,PB1041,T,Y25-34,2011,BE ,507.493
THS,ED3_4,PB1041,F,Y35-44,2011,BE ,223.415
THS,ED3_4,PB1041,M,Y35-44,2011,BE ,286.695
THS,ED3_4,PB1041,T,Y35-44,2011,BE ,510.11
THS,ED3_4,PB1041,F,Y45-54,2011,BE ,235.162
THS,ED3_4,PB1041,M,Y45-54,2011,BE ,242.316
THS,ED3_4,PB1041,T,Y45-54,2011,BE ,477.478
THS,ED3_4,PB1041,F,Y55-64,2011,BE ,165.147
THS,ED3_4,PB1041,M,Y55-64,2011,BE ,152.161
THS,ED3_4,PB1041,T,Y55-64,2011,BE ,317.308
THS,ED3_4,PB1070,F,TOTAL,2011,BE ,166.594
THS,ED3_4,PB1070,M,TOTAL,2011,BE ,132.939
THS,ED3_4,PB1070,T,TOTAL,2011,BE ,299.533
THS,ED3_4,PB1070,F,Y15-24,2011,BE ,6.909
THS,ED3_4,PB1070,M,Y15-24,2011,BE ,5.498
THS,ED3_4,PB1070,T,Y15-24,2011,BE ,12.407
THS,ED3_4,PB1070,F,Y25-34,2011,BE ,24.681
THS,ED3_4,PB1070,M,Y25-34,2011,BE ,17.599
THS,ED3_4,PB1070,T,Y25-34,2011,BE ,42.279
THS,ED3_4,PB1070,F,Y35-44,2011,BE ,39.023
THS,ED3_4,PB1070,M,Y35-44,2011,BE ,28.753
