unit,isced97,hlth_pb,age,sex,time\geo	BE 	BG 	CZ 	DK 	DE 	EE 	IE 	EL 	ES 	FR 	HR 	IT 	CY 	LV 	LT 	LU 	HU 	MT 	NL 	AT 	PL 	PT 	RO 	SI 	SK 	FI 	SE 	IS 	CH 	UK 	TR 
THS,ED0-2,PB1040,TOTAL,F,2011	223.746 	95.854 	80.267 	123.036 	877.214 	14.864 	34.592 	144.956 	884.664 	2032.791 	105.376 	1047.161 	14.15 	19.587 	21.416 	14.671 	196.421 	8.524 	380.393 	210.854 	469.564 	577.424 	393.857 	45.759 	55.183 	94.379 	160.241 	12.054 	157.564 	1435.997 	4446.888 
THS,ED0-2,PB1040,TOTAL,M,2011	249.621 	78.427 	43.056 	92.376 	721.002 	18.976 	43.272 	123.973 	658.565 	1382.687 	62.642 	880.322 	11.91 	28.171 	24.001 	10.498 	118.659 	7.763 	285.774 	135.208 	428.538 	450.596 	217.913 	34.915 	38.567 	102.934 	121.964 	8.473 	93.514 	1096.274 	2835.463 
THS,ED0-2,PB1040,TOTAL,T,2011	473.367 	174.281 	123.323 	215.412 	1598.216 	33.84 	77.864 	268.929 	1543.228 	3415.479 	168.019 	1927.483 	26.061 	47.757 	45.417 	25.17 	315.08 	16.287 	666.167 	346.062 	898.102 	1028.02 	611.77 	80.675 	93.75 	197.313 	282.206 	20.528 	251.078 	2532.271 	7282.35 
THS,ED0-2,PB1040,Y15-24,F,2011	11.757 	: u	4.377 u	15.635 	102.821 	: u	3.645 	: u	28.959 	128.687 	: u	23.458 	: u	: u	: u	1.123 u	5.138 	: u	36.421 u	18.94 	41.529 	19.109 	16.471 	1.41 u	3.102 u	12.447 	28.869 	3.489 	36.645 	102.634 	221.122 
THS,ED0-2,PB1040,Y15-24,M,2011	26.862 	: u	5.983 u	16.692 	91.871 	3.914 u	3.934 	5.761 u	32.243 	92.13 u	: u	36.801 	1.212 u	5.611 u	6.345 u	1.352 	12.518 	: u	42.824 	23.256 	52.876 	21.543 	20.984 	1.84 u	5.117 	14.472 	28.748 	2.353 	29.388 	103.118 	232.323 
THS,ED0-2,PB1040,Y15-24,T,2011	38.619 	8.557 u	10.361 	32.327 	194.692 	6.279 	7.579 	8.225 u	61.202 	220.817 	: u	60.259 	1.611 	8.088 	10.245 	2.475 	17.656 	: u	79.245 	42.197 	94.406 	40.652 	37.455 	3.249 u	8.219 	26.919 	57.617 	5.842 	66.033 	205.752 	453.445 
THS,ED0-2,PB1040,Y25-34,F,2011	17.068 	8.836 u	5.926 u	14.831 	90.76 	: u	3.327 	5.792 u	49.004 	110.251 	: u	39.759 	: u	: u	: u	1.222 	7.29 	: u	25.406 u	11.486 u	22.232 	35.93 	22.702 	: u	3.618 u	6.004 	12.447 	1.2 	12.453 	120.051 	485.628 
THS,ED0-2,PB1040,Y25-34,M,2011	18.76 	: u	5.174 u	14.822 	84.627 	3.067 u	4.008 	11.927 	57.122 	101.06 	: u	67.869 	0.94 u	5.237 u	4.713 u	1.401 	9.669 	: u	23.966 u	8.339 u	45.892 	34.444 	25.996 	2.403 u	6.656 	7.474 	11.18 	1.52 	5.93 u	111.336 	370.92 
THS,ED0-2,PB1040,Y25-34,T,2011	35.828 	14.84 	11.099 	29.653 	175.387 	4.464 u	7.335 	17.719 	106.127 	211.312 	4.917 u	107.628 	1.205 u	7.187 	7.07 u	2.624 	16.959 	2.177 u	49.373 	19.825 	68.124 	70.374 	48.698 	3.297 u	10.273 	13.478 	23.627 	2.72 	18.383 	231.387 	856.548 
THS,ED0-2,PB1040,Y35-44,F,2011	28.254 	9.362 u	7.523 	18.431 	120.024 	2.704 u	4.4 	13.187 	107.172 	288.379 	6.847 u	138.619 	1.15 u	: u	: u	2.704 	18.938 	: u	54.229 	23.505 	29.133 	80.713 	25.779 	3.677 u	6.178 	6.472 	18.233 	1.574 	21.432 	220.183 	929.706 
